Index,TC,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
10,0,647.2359619,633.8272095,625.1164551,614.6291504,603.8381348,594.3485718,585.8763428,580.6396484,578.2218628,573.427124,571.4973145,560.9666138,552.8597412,533.6689453,519.65625,497.3756714,481.7230835,462.9224243,445.6114502,430.4968567,417.8777161,401.7811279,395.7062683,390.1857605,387.6061096,389.7843933,398.4829102,411.4169617,430.1118469,448.2723389,472.0646362,495.8770752,525.9650269,555.7521362,579.789856,597.6238403,608.2484131,610.7202148,604.5010986,596.3922119,579.6876831,555.7227783,537.3311768,503.7107544,471.5672302,450.6165161,428.3890381,407.2082214,391.855896,380.5897827,367.5340271,356.3233032,347.9713745,345.8955383,345.5942993,343.8334961,340.8244019,339.1270142,340.54245,341.3461304,342.7252502,342.8382568,340.487793,344.0879822,340.4975891,342.1856384,338.6520996,338.2259827,336.3608398,336.2522278,337.4845581,339.9659424,343.0252991,349.6255798,357.9191284,365.9020081,369.588562,379.3739319,383.7606812,381.3498535,380.0197449,374.6256104,366.4101563,356.5723572,347.0840149,334.5241394,325.150177,315.8819885,304.169342,298.4383545,292.074646,286.5374451,278.8003235,272.2433777,258.4568787,247.5230865,235.5409241,224.7905121,212.812088,204.3379822,192.3087769
11,0,644.3165894,628.9942017,618.1490479,606.8538818,602.6819458,594.1789551,581.9481201,578.4589844,576.5848999,570.3344727,566.2190552,553.6519165,546.6200562,533.8707275,516.1358032,500.2684631,482.3776245,461.2471313,445.6670227,427.6410217,413.5100403,402.9523621,394.6939087,390.303894,388.1712036,389.7423401,396.472168,410.1746826,428.1166077,446.4252625,468.3316956,498.6535645,525.0871582,554.0601807,580.8508911,600.9144897,609.5186768,609.8741455,606.0231323,593.4347534,576.3765869,558.1045532,532.8797607,503.8295898,473.4382629,449.9308777,428.7549438,409.105835,391.9620667,380.2773743,364.4873352,354.3776245,350.1633301,345.8582764,344.906311,341.5336914,340.5157471,340.9630737,338.0785828,341.8191833,341.1517944,343.2125244,342.6369629,342.7777405,342.6371155,341.9152832,339.8447876,337.5780945,336.9897766,338.6604614,337.1779785,342.2981873,343.2213135,349.9801941,357.2154541,366.7807922,370.7121582,378.324646,380.0574646,380.1259155,380.0195007,375.0440063,365.09198,357.3196411,346.0877686,335.6630554,321.2281494,314.1354675,305.6925659,296.4642334,290.3001709,281.9934082,279.221405,270.2051086,256.5035095,247.6898041,235.2544861,225.0155487,214.0535889,202.3356781,190.7414703
12,0,680.4925537,660.1326294,650.5378418,635.8165894,629.2600708,618.9505615,610.1036987,608.3739014,602.3216553,602.0429688,593.5593872,583.921875,575.6305542,559.0378418,540.7772217,520.4378052,508.3022766,489.2271423,471.356842,452.1109619,435.5778809,428.4063721,419.3694458,415.0015564,410.1179199,412.8551331,421.8300171,434.3486938,453.3301392,472.7044983,496.0869446,527.0725708,557.670105,586.0100098,614.0882568,633.46875,636.6587524,643.3300171,642.1712036,628.3458862,616.4249878,590.2763062,566.557312,538.5581665,505.1975098,479.8174133,457.7843933,439.3714905,418.770813,411.413208,396.5263672,386.2999268,379.2790222,376.850647,374.861908,371.5969849,371.3384094,369.5661316,370.7431335,370.4847717,371.1816711,372.0432129,372.9207458,374.3074036,373.7598572,370.9452515,367.8269958,368.2449341,369.2829285,368.63797,370.1678467,372.4102173,376.5484314,380.187561,392.4578247,395.2624512,403.4378052,411.6561584,412.3435059,416.1786499,414.3674622,406.4999084,399.0007324,385.6501465,377.9503174,367.6298828,354.8117676,343.7844849,334.7903442,328.0407715,322.3708191,313.2000122,305.2100525,296.3360291,287.4072571,275.1466675,263.6416626,250.375,240.3811798,228.4179382,215.8263245
13,0,670.5239258,654.0159302,639.5136108,628.1462402,621.9668579,613.8978271,604.7374268,601.0021973,599.1295776,594.9312744,591.4816895,582.8997803,572.7559814,554.3598633,539.2958984,520.0385742,501.8411255,482.7434082,464.6742249,450.9324036,435.2822571,423.0552368,417.2785034,411.2890625,408.7348328,407.8001099,419.5242615,433.5889893,448.966156,470.153595,498.1284485,525.2424316,553.2320557,579.9592285,611.8130493,625.15448,633.2024536,638.5618896,637.4985352,625.2540894,606.6858521,587.7960205,568.1209717,536.8052979,500.125885,480.9716492,452.9038696,439.4836121,418.4273682,408.1404724,397.1186523,386.4587708,379.8963318,378.0412292,374.8425903,373.6677551,371.7125549,368.4069214,370.8243408,371.3110657,372.3179321,373.2246399,375.0247803,373.8630676,373.4982605,373.8681335,372.7298279,369.6768799,369.5119629,368.6556396,371.0025024,374.2859802,377.4822388,383.4219055,389.9305725,396.588623,402.9036255,410.0656128,413.6076355,414.4759216,411.6878662,405.0413208,396.0301514,388.5899963,378.1700134,367.3355103,355.6158142,341.8090515,333.0131836,328.2845764,320.3070374,316.9501343,309.076355,298.7012939,287.651825,276.310791,265.5725098,251.3333893,238.6877594,229.0977783,215.3452759
14,0,667.9283447,651.6016846,642.9724731,629.1745605,619.6679077,608.6364746,600.3951416,599.2670288,594.8005981,593.3137207,588.2238159,577.9901123,568.1161499,552.942627,536.3466797,515.4342651,503.2319336,484.1077576,464.7125549,450,433.5187683,424.4952087,416.6352539,410.479126,409.0940857,410.4866028,417.2035522,432.8659058,448.661377,468.6651917,495.6371155,522.8724976,551.7770386,585.2818604,610.616272,627.392395,634.5687866,639.756897,633.3478394,625.6740112,609.0482178,588.1247559,564.1755371,532.7516479,501.9580078,478.4214783,456.9492798,437.2989807,419.1525269,410.4235535,399.9405212,385.2180481,379.1574707,379.0562439,375.5466614,372.4796143,372.4021912,370.197876,371.5714417,373.385498,371.4555359,373.7402344,372.9820251,375.43573,373.0839844,373.7506409,371.6102905,372.1520081,369.2520142,369.6226501,373.0016785,374.9135742,378.972168,386.4072571,394.0645142,399.9744873,407.3425903,410.7650757,416.384613,416.0538635,412.3128662,405.6752625,398.6485596,390.7113953,377.3939514,369.7567139,357.6556702,344.5608215,336.6384277,328.380249,323.0816956,315.7680054,309.3538208,298.5265808,288.7194519,276.7512207,264.0985107,253.5704651,241.8058624,231.1361084,217.2274628
15,0,693.3053589,677.8989258,669.4286499,657.6809692,650.006958,637.0974731,631.1196289,621.9237671,617.94104,618.7791748,612.5631104,601.5822144,592.8612061,575.3909302,560.4083862,540.9085083,525.1099854,501.2668457,487.8330383,470.4262085,452.6998291,447.2033997,436.2244263,434.462616,428.9738464,429.9926147,442.945343,454.8435364,471.3971863,492.0515442,519.1308594,547.5186157,578.1018677,610.9431152,639.3648682,657.1017456,668.7449951,667.5741577,665.3690796,654.8430786,636.2993774,616.0575562,595.892395,565.5275269,532.7561646,504.848175,483.3482361,464.1928101,450.2323914,438.6343689,421.6698914,411.2236023,404.684021,405.1041565,404.7005005,401.8847046,399.7452087,400.5610657,398.8240662,399.338501,398.2952271,402.7489319,401.7068787,401.9881592,400.6584778,402.8748474,397.7457581,394.7256775,396.1506348,394.3278503,396.0095825,402.4040222,403.9169922,410.217041,417.408905,423.7194824,431.5561218,439.5562439,441.8741455,444.1967163,438.488678,432.406189,423.9196777,415.7626343,404.2858276,394.9714355,383.2298889,372.2774658,361.2796021,352.3233032,348.619812,339.3879395,333.8330688,321.3299561,312.0205383,298.9740295,288.5274353,276.7000427,262.9191895,253.7172089,237.5047455
16,0,689.2702026,676.4291382,667.0933838,657.8511963,645.0076294,635.4462891,628.5048218,623.4906006,618.822876,616.7112427,611.211731,600.1174927,591.8140869,577.7739868,560.0415649,542.0784302,522.8452759,501.0262756,485.9327698,469.7966614,452.9099731,441.3033752,435.2544556,430.5461426,426.6143799,431.6298523,436.9446411,454.1055298,472.3451233,488.6072388,515.8865967,546.8656006,573.1313477,607.010437,633.4708862,651.6508789,661.4109497,665.7741089,662.2711792,648.6751099,637.6779175,611.2275391,589.3100586,562.597168,527.2540894,503.8260803,482.2671204,463.0383301,448.3330078,436.9180603,422.1629028,412.1531067,406.7502747,403.1393738,403.3361511,398.179718,399.8545532,400.842804,396.8701782,397.0866394,401.2759399,401.302948,402.5970459,402.3718567,401.7225952,400.8621216,399.6591492,398.5808105,396.9989624,399.0174255,397.9087219,401.0238037,406.5342712,408.5991516,418.6233215,426.6938171,433.4961548,439.1378784,442.9605103,441.5771179,441.9379883,435.5099182,425.5636292,417.4364624,406.8883972,392.9759521,382.2189331,371.0001526,360.1395874,351.9735107,346.7767944,338.9031982,330.1621399,322.3352966,313.6947632,301.0605774,288.1010742,277.0266418,265.7450867,253.4100647,238.9753723
17,0,678.7653809,665.5321655,656.7332764,647.2850952,638.5249634,623.9944458,618.3950195,615.7346802,610.3397827,611.6262817,598.9614258,595.1307373,583.7304077,567.2669067,552.5268555,536.3603516,520.442749,499.1357422,484.4539795,467.6901855,451.9754944,444.6114807,434.5635681,428.2737122,429.3011475,432.1945496,437.9630127,452.9563904,473.5137329,489.0683289,520.1038208,545.9436646,575.7507324,604.5543823,635.3814697,656.9653931,663.9250488,664.5874023,661.7798462,651.9707031,637.6626587,613.6993408,592.7819824,563.4676514,531.2712402,506.3117065,486.0331116,464.7504883,445.3466797,437.0194397,423.9816589,415.2449341,407.8167114,404.2058716,403.6576233,400.6800537,401.5585022,398.7467346,399.0839233,398.5784302,401.24823,400.8869019,404.1586609,403.0047607,403.6190186,401.8178101,400.6180115,400.4544678,396.1083984,398.5665588,398.1507568,401.7071228,403.901062,411.0571289,418.4837646,428.5430908,432.0307007,440.6209412,442.9483948,441.0946655,440.4507141,436.1711121,426.2257996,415.6660461,404.9232788,390.4544983,380.6950989,371.7078247,361.3490601,353.4499817,349.4689636,340.330658,332.9926453,323.6914673,314.497345,299.7523804,290.3546448,276.6954956,264.3186035,255.4582977,239.70961
18,0,707.6052246,694.1252441,681.3626099,672.038269,655.3912354,649.7493896,642.0765991,639.2317505,637.9285889,632.2250977,627.1066895,619.0415649,610.7246704,592.2175903,577.1622314,556.9605713,534.8615723,520.1341553,502.2030334,483.6355896,471.819519,458.9086609,454.3771973,447.3930359,449.2217102,448.362854,460.370636,473.8292847,491.0563965,511.6953735,541.2455444,570.727478,596.9349976,631.4277954,661.3204346,681.083252,684.9923096,691.4893188,688.5892944,678.1220703,664.8118286,640.8253174,618.9414673,584.2237549,554.0412598,530.4487915,508.0752258,486.2249451,470.196991,458.1972046,447.7286072,435.3030396,427.5842285,426.2304382,425.3207397,425.9770508,423.9054871,422.4672852,424.2072754,424.7192993,428.9358521,424.9568787,428.947052,429.5351257,428.618103,422.690979,422.9233398,420.6214905,422.8193665,423.2620544,424.6400146,427.3331909,434.7529297,442.6115417,447.5841675,451.5489807,463.6873779,466.4815674,469.5470581,469.9815063,465.5716553,462.62323,453.5462341,440.8284302,430.7974854,422.2193604,409.693634,394.6578064,387.554718,377.9810486,375.4714661,364.0076904,356.4512024,348.3280945,337.9429932,326.576355,311.165863,298.927948,286.4557495,273.8312378,260.8463745
19,0,703.0550537,686.3081665,678.3131104,664.4584961,655.5395508,645.4107666,638.3196411,634.2745361,629.9588623,626.2423706,623.4815063,615.5964966,604.303894,586.6003418,570.5460205,554.3474121,538.5596313,515.8638916,499.5913391,485.8089294,467.9032593,457.9698486,452.1483765,444.4334717,444.1712646,447.8147278,455.7600403,469.2504578,492.9553528,509.6645813,538.1723633,569.2380371,599.8272095,631.7994995,659.4963379,678.418457,690.4020996,690.7817383,693.6738892,676.6292114,661.4806519,637.9134521,615.1878662,589.932312,555.2220459,527.206665,509.4981079,490.1252747,471.2845459,461.4922485,448.0688782,434.4513855,431.4773865,431.5226746,428.1483154,424.8486633,424.6964111,425.8877563,425.0776062,428.6395264,425.2019348,430.565094,429.569519,431.1501465,428.4595642,429.2270508,427.1331482,424.1162109,423.5340271,424.7041931,426.0817261,430.9501648,430.4577332,440.9996338,448.1354675,453.8121338,462.3962402,471.0226746,471.0482178,471.8063354,466.433197,464.0552368,454.8912354,445.6141968,435.3013,423.1809082,408.5030212,401.7068787,390.2673645,384.0898132,372.7483215,367.4438782,359.6197205,350.8927307,339.3242188,324.3360596,311.8232117,301.2425842,288.6494751,277.4819031,264.2256775
20,0,698.0443726,684.2178955,673.5587769,660.8161621,653.5491943,642.3483276,634.1647949,629.9758301,627.4702759,627.177063,620.6745605,612.4319458,600.5863647,589.6289063,575.9971924,553.0535278,538.4005737,516.229248,501.1875,482.7183838,468.699585,459.2931213,450.7796631,446.6039734,445.6393433,444.774292,458.324585,476.28479,494.553772,515.0119019,538.8071899,567.8856812,598.4766846,633.3849487,661.9696655,679.2407837,687.6796875,697.121582,690.3428345,680.992981,663.1270142,639.7797852,619.7426758,588.0906982,558.1793213,533.8162231,510.2672119,490.8211975,474.4770203,463.0805359,449.2910767,438.4058228,434.9204102,431.9825134,432.252594,429.727478,429.1838074,425.087677,426.4289246,429.4767761,428.5310059,430.1427307,431.1039124,431.9889526,427.2167053,426.5486755,428.5151978,428.2005615,426.9597778,426.3304749,427.6117554,429.5968628,434.8314514,441.8588257,445.5487976,454.7215576,460.8596497,468.6546021,470.3688049,471.6552734,469.285614,463.1726685,452.9195251,442.4924011,433.1817322,423.2564087,411.8755493,400.4885559,387.9807739,380.4070129,375.9080505,369.7496643,358.8610229,351.2097473,339.4064026,326.7003479,314.249939,302.6169434,287.7029724,276.3209229,264.0058594
21,0,670.1858521,657.9759521,647.1116333,643.4951782,631.8853149,622.7826538,618.4272461,611.5227661,611.7154541,609.5488892,602.1158447,592.8562012,585.9700928,571.0276489,557.086853,537.644104,525.3657227,504.1846619,490.0010071,475.5033264,458.9469299,453.7660828,446.3320007,442.4156799,437.4893799,444.8796692,453.0374146,468.3887329,487.7863159,508.2635803,532.3362427,562.0836182,593.8300171,625.2736206,652.4855957,670.9459839,678.1200562,683.5073853,683.9341431,672.8726807,657.3739014,638.4157104,616.909668,588.2252808,558.5365601,533.9579468,513.7409668,493.2412415,477.0514221,468.4436646,459.0413513,447.2554016,443.6480408,443.2127686,441.817688,437.8988342,442.9093933,440.0863342,439.791626,441.7898865,443.6916199,444.8856812,444.7629089,446.5498047,445.8462524,443.074585,444.030365,441.3435059,441.0380859,441.432373,442.5337524,447.1158142,449.7449036,453.1917419,463.8285522,472.5397034,479.9364014,479.8893738,486.9336853,486.7077332,484.111969,479.8835754,467.220459,459.662262,447.5953064,435.5765686,427.0129395,413.1391296,404.0970764,395.6783142,390.8171692,382.4724121,375.9989624,367.0895081,356.804657,343.3172302,329.2837524,318.897522,306.7986145,295.1020508,280.9396667
