Epoch 239: Train Loss: 0.2007, Train Accuracy: 0.9571
Epoch 240: Train Loss: 0.1995, Train Accuracy: 0.9619
Epoch 241: Train Loss: 0.1981, Train Accuracy: 0.9595
Epoch 242: Train Loss: 0.1969, Train Accuracy: 0.9595
Epoch 243: Train Loss: 0.1961, Train Accuracy: 0.9595
Epoch 244: Train Loss: 0.1956, Train Accuracy: 0.9595
Epoch 245: Train Loss: 0.1952, Train Accuracy: 0.9595
Epoch 246: Train Loss: 0.1951, Train Accuracy: 0.9571
Epoch 247: Train Loss: 0.1952, Train Accuracy: 0.9548
Epoch 248: Train Loss: 0.1954, Train Accuracy: 0.9571
Epoch 249: Train Loss: 0.1955, Train Accuracy: 0.9548
Epoch 250: Train Loss: 0.1951, Train Accuracy: 0.9548
Epoch 251: Train Loss: 0.1937, Train Accuracy: 0.9595
Epoch 252: Train Loss: 0.1918, Train Accuracy: 0.9595
Epoch 253: Train Loss: 0.1904, Train Accuracy: 0.9595
Epoch 254: Train Loss: 0.1897, Train Accuracy: 0.9595
Epoch 255: Train Loss: 0.1895, Train Accuracy: 0.9595
Epoch 256: Train Loss: 0.1893, Train Accuracy: 0.9595
Epoch 257: Train Loss: 0.1891, Train Accuracy: 0.9595
Epoch 258: Train Loss: 0.1886, Train Accuracy: 0.9595
Epoch 259: Train Loss: 0.1881, Train Accuracy: 0.9595
Epoch 260: Train Loss: 0.1876, Train Accuracy: 0.9619
Epoch 261: Train Loss: 0.1870, Train Accuracy: 0.9595
Epoch 262: Train Loss: 0.1863, Train Accuracy: 0.9595
Epoch 263: Train Loss: 0.1855, Train Accuracy: 0.9595
Epoch 264: Train Loss: 0.1848, Train Accuracy: 0.9595
Epoch 265: Train Loss: 0.1842, Train Accuracy: 0.9595
Epoch 266: Train Loss: 0.1836, Train Accuracy: 0.9595
Epoch 267: Train Loss: 0.1830, Train Accuracy: 0.9595
Epoch 268: Train Loss: 0.1826, Train Accuracy: 0.9595
Epoch 269: Train Loss: 0.1822, Train Accuracy: 0.9595
Epoch 270: Train Loss: 0.1819, Train Accuracy: 0.9595
Epoch 271: Train Loss: 0.1816, Train Accuracy: 0.9595
Epoch 272: Train Loss: 0.1815, Train Accuracy: 0.9571
Epoch 273: Train Loss: 0.1815, Train Accuracy: 0.9571
Epoch 274: Train Loss: 0.1821, Train Accuracy: 0.9619
Epoch 275: Train Loss: 0.1833, Train Accuracy: 0.9476
Epoch 276: Train Loss: 0.1851, Train Accuracy: 0.9524
Epoch 277: Train Loss: 0.1861, Train Accuracy: 0.9405
Epoch 278: Train Loss: 0.1842, Train Accuracy: 0.9619
Epoch 279: Train Loss: 0.1797, Train Accuracy: 0.9619
Epoch 280: Train Loss: 0.1772, Train Accuracy: 0.9643
Epoch 281: Train Loss: 0.1778, Train Accuracy: 0.9619
Epoch 282: Train Loss: 0.1792, Train Accuracy: 0.9595
Epoch 283: Train Loss: 0.1796, Train Accuracy: 0.9595
Epoch 284: Train Loss: 0.1778, Train Accuracy: 0.9643
Epoch 285: Train Loss: 0.1755, Train Accuracy: 0.9643
Epoch 286: Train Loss: 0.1746, Train Accuracy: 0.9595
Epoch 287: Train Loss: 0.1754, Train Accuracy: 0.9643
Epoch 288: Train Loss: 0.1763, Train Accuracy: 0.9643
Epoch 289: Train Loss: 0.1757, Train Accuracy: 0.9667
Epoch 290: Train Loss: 0.1740, Train Accuracy: 0.9643
Epoch 291: Train Loss: 0.1728, Train Accuracy: 0.9643
Epoch 292: Train Loss: 0.1723, Train Accuracy: 0.9643
Epoch 293: Train Loss: 0.1723, Train Accuracy: 0.9595
Epoch 294: Train Loss: 0.1725, Train Accuracy: 0.9643
Epoch 295: Train Loss: 0.1722, Train Accuracy: 0.9643
Epoch 296: Train Loss: 0.1717, Train Accuracy: 0.9643
Epoch 297: Train Loss: 0.1706, Train Accuracy: 0.9643
Epoch 298: Train Loss: 0.1699, Train Accuracy: 0.9643
Epoch 299: Train Loss: 0.1694, Train Accuracy: 0.9643
Epoch 300: Train Loss: 0.1694, Train Accuracy: 0.9643
Epoch 301: Train Loss: 0.1697, Train Accuracy: 0.9667
